Fuel Type Code,City,State,ZIP_Code,Status Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,ID,Open Date
ELEC,Laurel,MD,20723,E,4,0,SWTCH,193471,7/9/2025
ELEC,Crofton,MD,21114,E,6,0,SWTCH,193582,7/9/2025
ELEC,Bowie,MD,20716,E,2,0,SWTCH,194123,7/9/2025
ELEC,Colmar Manor,MD,20722,E,2,0,SWTCH,196184,7/7/2025
ELEC,Colmar Manor,MD,20722,E,4,0,SWTCH,196185,6/26/2025
ELEC,Westover,MD,21871,E,2,0,SWTCH,196236,7/9/2025
ELEC,Denton,MD,21629,E,2,0,SWTCH,197410,6/30/2025
ELEC,Pocomoke City,MD,21851,E,3,0,SWTCH,197567,7/9/2025
ELEC,Salisbury,MD,21801,E,2,4,SWTCH,197568,7/9/2025
ELEC,Chesapeake Beach,MD,20732,E,4,4,SWTCH,197791,6/24/2025
ELEC,Cockeysville,MD,21030,E,4,4,SWTCH,197896,6/30/2025
ELEC,Stevensville,MD,21666,E,4,2,SWTCH,201003,7/9/2025
ELEC,Brentwood,MD,20722,E,2,0,SWTCH,201188,7/7/2025
ELEC,Perry Hall,MD,21128,E,4,0,SWTCH,201249,7/6/2025
ELEC,Centreville,MD,21617,E,2,0,SWTCH,201780,7/9/2025
ELEC,Centreville,MD,21617,E,2,0,SWTCH,201782,7/9/2025
ELEC,Upper Marlboro,MD,20774,E,2,2,SWTCH,201839,7/9/2025
ELEC,Annapolis,MD,21401,E,4,0,SWTCH,201913,7/9/2025
ELEC,Bel Air,MD,21014,E,6,2,SWTCH,201914,7/9/2025
ELEC,District Heights,MD,20747,E,4,0,SWTCH,202002,7/9/2025
ELEC,Largo,MD,20774,E,9,0,SWTCH,202003,6/3/2025
ELEC,Federalsburg,MD,21632,E,3,0,SWTCH,202700,7/9/2025
ELEC,Darlington,MD,21034,E,4,0,SWTCH,202761,7/9/2025
ELEC,McFarland,CA,93250,E,3,2,ChargePoint Network,203101,1/15/2022
ELEC,Antigo,WI,54409,E,2,0,Tesla Destination,203154,3/24/2022
ELEC,Los Angeles,CA,90021,E,14,8,EVCS,203269,2/1/2022
ELEC,Darlington,MD,21034,E,5,4,SWTCH,203356,7/9/2025
ELEC,Lancaster,CA,93534,E,2,0,ChargePoint Network,203359,1/1/2022
ELEC,Bakersville,NC,28705,E,2,0,ChargePoint Network,203361,1/1/2022
ELEC,Providence,RI,02903,E,2,0,ChargePoint Network,203362,1/1/2022
ELEC,Reading,PA,19610,E,2,0,ChargePoint Network,203364,1/1/2022
ELEC,Sacramento,CA,95833,E,2,0,ChargePoint Network,203365,1/1/2022
ELEC,Springfield,MA,01109,E,2,0,ChargePoint Network,203366,1/1/2022
ELEC,La Jolla,CA,92037,E,0,1,ChargePoint Network,203368,1/1/2022
ELEC,Boston,MA,02210,E,2,0,ChargePoint Network,204246,1/4/2022
ELEC,Boston,MA,02210,E,2,0,ChargePoint Network,204247,1/4/2022
ELEC,Boston,MA,02210,E,2,0,ChargePoint Network,204248,1/4/2022
ELEC,Boston,MA,02210,E,2,0,ChargePoint Network,204249,1/4/2022
ELEC,Boston,MA,02210,E,1,0,ChargePoint Network,204250,1/4/2022
ELEC,Boston,MA,02210,E,1,0,ChargePoint Network,204252,1/4/2022
ELEC,Seattle,WA,98104,E,2,0,ChargePoint Network,204254,1/4/2022
ELEC,Seattle,WA,98104,E,2,0,ChargePoint Network,204255,1/4/2022
ELEC,Blakely,PA,18447,E,1,0,ChargePoint Network,204256,1/4/2022
ELEC,Vancouver,WA,98661,E,0,1,ChargePoint Network,204258,1/4/2022
ELEC,Vancouver,WA,98661,E,0,1,ChargePoint Network,204259,1/4/2022
ELEC,Lakewood,OH,44107,E,2,0,ChargePoint Network,204260,1/4/2022
ELEC,Charles City,IA,50616,E,0,4,CHARGELAB,204261,1/4/2022
ELEC,Minneapolis,MN,55415,E,1,0,ChargePoint Network,204293,1/5/2022
ELEC,Charlotte,NC,28262,E,2,0,ChargePoint Network,204300,1/5/2022
ELEC,Methuen,MA,01844,E,2,0,ChargePoint Network,204301,1/5/2022
ELEC,Snowmass Village,CO,81615,E,2,0,ChargePoint Network,204302,1/5/2022
ELEC,Parsippany-Troy Hills,NJ,07054,E,2,0,ChargePoint Network,204304,1/5/2022
ELEC,Parsippany-Troy Hills,NJ,07054,E,2,0,ChargePoint Network,204305,1/5/2022
ELEC,Blacklick,OH,43004,E,1,0,ChargePoint Network,204307,1/5/2022
ELEC,Somersworth,NH,03878,E,1,0,ChargePoint Network,204309,1/5/2022
ELEC,Des Moines,IA,50321,E,0,4,CHARGELAB,204315,1/5/2022
ELEC,Waldorf,MD,20601,E,4,0,Blink Network,204379,1/4/2022
ELEC,Charlotte,NC,28273,E,1,0,ChargePoint Network,204393,1/7/2022
ELEC,Willits,CA,95490,E,2,0,ChargePoint Network,204394,1/7/2022
ELEC,Pitkin,CO,81210,E,2,0,ChargePoint Network,204396,1/7/2022
