city,state,total_dc_fast_kw,total_level2_kw,stress_score,investment_category
Livingston,NJ,50,280,1.9079,High Opportunity
Ashland,MA,0,56,100.0,Critical Opportunity
Vandalia,OH,200,196,0.477,Saturated Market
Pipestem,WV,0,21,100.0,Critical Opportunity
Eden,NC,0,28,100.0,Critical Opportunity
Wareham,MA,700,252,0.1363,Saturated Market
St Charles MO,MO,0,14,100.0,Critical Opportunity
Torrance,CA,1900,1652,0.0502,Saturated Market
Naches,WA,50,7,1.9079,High Opportunity
Hockessin,DE,0,14,100.0,Critical Opportunity
WEST MONTGOMERY,TX,350,0,0.2726,Saturated Market
Boron,CA,150,7,0.636,Stable/Growing
Glenelg,MD,200,0,0.477,Saturated Market
Newton,MA,500,553,0.1908,Saturated Market
Marshall,TX,250,42,0.3816,Saturated Market
Laguna Niguel,CA,200,182,0.477,Saturated Market
Cedar Park,TX,1250,133,0.0763,Saturated Market
MCALLEN,TX,150,0,0.636,Stable/Growing
Lake Worth Beach,FL,0,126,100.0,Critical Opportunity
Prince George,VA,0,14,100.0,Critical Opportunity
Belcamp,MD,300,42,0.318,Saturated Market
Glenmont,NY,400,56,0.2385,Saturated Market
STEWARTVILLE,MN,50,0,1.9079,High Opportunity
Beachwood,OH,200,91,0.477,Saturated Market
Northville,NY,0,28,100.0,Critical Opportunity
Crozet,VA,0,28,100.0,Critical Opportunity
Shelby Twp,MI,200,42,0.477,Saturated Market
Orange City,FL,400,14,0.2385,Saturated Market
Madison,GA,50,77,1.9079,High Opportunity
Baden,PA,0,28,100.0,Critical Opportunity
Montoursville,PA,50,21,1.9079,High Opportunity
Cape MAy,NJ,0,14,100.0,Critical Opportunity
Redondo Beach,CA,550,126,0.1734,Saturated Market
White Sands,NM,0,14,100.0,Critical Opportunity
Searcy,AR,0,21,100.0,Critical Opportunity
Galloway,NJ,150,0,0.636,Stable/Growing
Idyllwild-Pine Cove,CA,0,21,100.0,Critical Opportunity
Chelsea,MI,300,42,0.318,Saturated Market
Atwater,MN,100,0,0.954,Stable/Growing
Lamoure,ND,0,7,100.0,Critical Opportunity
Rosebug,OR,0,14,100.0,Critical Opportunity
Whitney Point,NY,400,0,0.2385,Saturated Market
Litchfield,IL,300,0,0.318,Saturated Market
Columbus,MS,300,21,0.318,Saturated Market
Coronado,CA,200,224,0.477,Saturated Market
Midland,TX,300,84,0.318,Saturated Market
Kaneohe,HI,700,0,0.1363,Saturated Market
Aquinnah,MA,0,28,100.0,Critical Opportunity
Monte Rio,CA,0,21,100.0,Critical Opportunity
Lincoln,RI,0,14,100.0,Critical Opportunity
Rolling Hills Estates,CA,0,84,100.0,Critical Opportunity
Salina,UT,200,0,0.477,Saturated Market
La Jolla,CA,1400,1659,0.0681,Saturated Market
Sebastopol,CA,600,21,0.159,Saturated Market
Stevensville,MD,300,28,0.318,Saturated Market
Ramapo,NY,0,56,100.0,Critical Opportunity
Pine Bluffs,WY,100,14,0.954,Stable/Growing
Longwood,FL,0,35,100.0,Critical Opportunity
Bellbrook,OH,0,84,100.0,Critical Opportunity
Grand Terrace,CA,0,28,100.0,Critical Opportunity
Woodhull,IL,200,0,0.477,Saturated Market
Pennsville,NJ,800,0,0.1192,Saturated Market
LEESBURG,FL,50,7,1.9079,High Opportunity
Stillwater,OK,400,28,0.2385,Saturated Market
South Saint Paul,MN,0,42,100.0,Critical Opportunity
West Covina,CA,3200,497,0.0298,Saturated Market
Brunswick,MD,0,14,100.0,Critical Opportunity
VALPARAISO,IN,50,0,1.9079,High Opportunity
Dulles,VA,0,14,100.0,Critical Opportunity
Foster City,CA,0,28,100.0,Critical Opportunity
Montrose,NY,0,98,100.0,Critical Opportunity
Middletown Township,NJ,300,0,0.318,Saturated Market
Ocean City,NJ,200,0,0.477,Saturated Market
Apple Valley,MN,100,0,0.954,Stable/Growing
Cooksville,MD,100,42,0.954,Stable/Growing
Beacon,NY,0,301,100.0,Critical Opportunity
Chapel Hill,NC,600,567,0.159,Saturated Market
New Providence,NJ,0,14,100.0,Critical Opportunity
Seneca,KS,0,7,100.0,Critical Opportunity
Satellite Beach,FL,0,14,100.0,Critical Opportunity
Huntley,IL,400,14,0.2385,Saturated Market
Calimesa,CA,600,0,0.159,Saturated Market
Los Alamos,NM,50,392,1.9079,High Opportunity
Worthington,OH,0,35,100.0,Critical Opportunity
Yanceyville,NC,0,14,100.0,Critical Opportunity
Juno Beach,FL,0,42,100.0,Critical Opportunity
Hancock,MA,0,28,100.0,Critical Opportunity
Washington Grove,MD,0,28,100.0,Critical Opportunity
Conway,AR,850,91,0.1122,Saturated Market
Empire,MI,100,14,0.954,Stable/Growing
Winnemucca,NV,200,0,0.477,Saturated Market
Loma,CO,0,14,100.0,Critical Opportunity
Braintree,MA,900,140,0.106,Saturated Market
Whitestown,IN,0,14,100.0,Critical Opportunity
Lapeer,MI,200,0,0.477,Saturated Market
Mitchell,SD,450,21,0.212,Saturated Market
Elkader,IA,0,7,100.0,Critical Opportunity
Mansfield,GA,0,7,100.0,Critical Opportunity
Fort Dodge,IA,450,0,0.212,Saturated Market
Hoschton,GA,0,28,100.0,Critical Opportunity
Phenix City,AL,100,84,0.954,Stable/Growing
Exeter,NH,200,28,0.477,Saturated Market
Lewisberry,PA,0,28,100.0,Critical Opportunity
Wrightstown,WI,0,7,100.0,Critical Opportunity
Greenacres,FL,100,0,0.954,Stable/Growing
Columbia,KY,0,28,100.0,Critical Opportunity
White Oak,MD,0,28,100.0,Critical Opportunity
Billerica,MA,200,70,0.477,Saturated Market
Dawson,GA,100,0,0.954,Stable/Growing
Little Ferry,NJ,600,0,0.159,Saturated Market
Burleson,TX,600,119,0.159,Saturated Market
Chatsworth,CA,400,77,0.2385,Saturated Market
Manistee,MI,0,105,100.0,Critical Opportunity
Lexington,NC,800,0,0.1192,Saturated Market
North Canton,OH,700,42,0.1363,Saturated Market
Provincetown,MA,600,84,0.159,Saturated Market
Cedar River,MI,100,0,0.954,Stable/Growing
Baltimore,MD,3100,2121,0.0308,Saturated Market
Naperville,IL,500,182,0.1908,Saturated Market
Pinecrest,FL,0,7,100.0,Critical Opportunity
Baldwin,WI,0,21,100.0,Critical Opportunity
Almont,CO,0,7,100.0,Critical Opportunity
Newton Lower Falls,MA,0,14,100.0,Critical Opportunity
Dickson,TN,100,14,0.954,Stable/Growing
Chelmsford,MA,300,154,0.318,Saturated Market
Channahon,IL,0,7,100.0,Critical Opportunity
Burnsville,MN,450,35,0.212,Saturated Market
Dryden,NY,0,42,100.0,Critical Opportunity
Akron,NY,0,21,100.0,Critical Opportunity
Belmont,NC,0,56,100.0,Critical Opportunity
Daytona Beach Shores,FL,100,0,0.954,Stable/Growing
Zanesville,OH,500,0,0.1908,Saturated Market
Orangevale,CA,100,0,0.954,Stable/Growing
Madison,FL,600,0,0.159,Saturated Market
Chapmanville,WV,150,7,0.636,Stable/Growing
Cuba,NM,200,0,0.477,Saturated Market
Hermitage,TN,200,42,0.477,Saturated Market
Wrightsville,NC,0,28,100.0,Critical Opportunity
Plant City,FL,500,147,0.1908,Saturated Market
Buena Vista,GA,100,0,0.954,Stable/Growing
Fairway,KS,0,56,100.0,Critical Opportunity
Blue Point,NY,0,14,100.0,Critical Opportunity
Lenox,MA,400,28,0.2385,Saturated Market
REIDSVILLE,NC,100,0,0.954,Stable/Growing
Tarentum,PA,50,0,1.9079,High Opportunity
Crown Point,NY,0,70,100.0,Critical Opportunity
Rockville,IN,0,28,100.0,Critical Opportunity
Lincoln,IL,300,7,0.318,Saturated Market
Pomfret Center,CT,100,28,0.954,Stable/Growing
Wappingers Falls,NY,250,35,0.3816,Saturated Market
Oxford,OH,0,126,100.0,Critical Opportunity
Downtown,OH,0,14,100.0,Critical Opportunity
Havre De Grace,MD,100,70,0.954,Stable/Growing
Rockport,TX,0,84,100.0,Critical Opportunity
Butler,GA,200,0,0.477,Saturated Market
Sarasota,FL,1500,686,0.0636,Saturated Market
Ogema,MN,0,14,100.0,Critical Opportunity
Okeechobee,FL,700,105,0.1363,Saturated Market
Gibsonia,PA,0,56,100.0,Critical Opportunity
JOLIET,IL,50,0,1.9079,High Opportunity
Uniontown,PA,100,35,0.954,Stable/Growing
Tulalip Bay,WA,150,14,0.636,Stable/Growing
Howard,WI,300,0,0.318,Saturated Market
Zuni,NM,200,0,0.477,Saturated Market
Oxford,MA,100,14,0.954,Stable/Growing
Midlothian,VA,200,140,0.477,Saturated Market
Cambridge,MD,400,42,0.2385,Saturated Market
Culpeper,VA,0,14,100.0,Critical Opportunity
Shoreview,MN,0,14,100.0,Critical Opportunity
Redington Shore,FL,0,14,100.0,Critical Opportunity
Hailey,ID,300,7,0.318,Saturated Market
Mena,AR,0,14,100.0,Critical Opportunity
Old Greenwich,CT,0,28,100.0,Critical Opportunity
Clatskanie,OR,50,28,1.9079,High Opportunity
Makawao,HI,100,0,0.954,Stable/Growing
Riverside,RI,0,84,100.0,Critical Opportunity
Grants,NM,100,0,0.954,Stable/Growing
Norton,VA,0,42,100.0,Critical Opportunity
Ponce Bypass,PR,0,7,100.0,Critical Opportunity
Colebrook,CT,0,28,100.0,Critical Opportunity
Northport,AL,0,14,100.0,Critical Opportunity
Claremont,NH,150,28,0.636,Stable/Growing
Springdale,UT,0,196,100.0,Critical Opportunity
West Allis,WI,300,42,0.318,Saturated Market
Mt. Juliet,TN,300,56,0.318,Saturated Market
Verona,NY,600,0,0.159,Saturated Market
Dillon,CO,0,70,100.0,Critical Opportunity
Elburn,IL,0,14,100.0,Critical Opportunity
Hazlehurst,GA,100,0,0.954,Stable/Growing
Westmont,IL,200,56,0.477,Saturated Market
Crested Butte,CO,0,56,100.0,Critical Opportunity
Fallbrook,CA,550,168,0.1734,Saturated Market
Littlerock,CA,0,14,100.0,Critical Opportunity
Franconia,VA,600,7,0.159,Saturated Market
SF,CA,0,21,100.0,Critical Opportunity
johnson,VT,0,14,100.0,Critical Opportunity
Endicott,NY,0,63,100.0,Critical Opportunity
Ruston,LA,400,0,0.2385,Saturated Market
EDINBURG,TX,50,0,1.9079,High Opportunity
Del Norte,CO,300,14,0.318,Saturated Market
Alhambra,CA,2000,98,0.0477,Saturated Market
San Ysidro,CA,200,0,0.477,Saturated Market
Morro Bay,CA,0,14,100.0,Critical Opportunity
De Motte,IN,200,0,0.477,Saturated Market
Durand,MI,100,28,0.954,Stable/Growing
Westborough,MA,200,700,0.477,Saturated Market
Sumter,SC,250,91,0.3816,Saturated Market
Boligee,AL,100,0,0.954,Stable/Growing
Salado,TX,0,7,100.0,Critical Opportunity
Springfield,VA,200,315,0.477,Saturated Market
Kingston,RI,0,14,100.0,Critical Opportunity
St. George Island,FL,0,14,100.0,Critical Opportunity
Bremen,GA,150,0,0.636,Stable/Growing
Rancho Santa Fe,CA,0,112,100.0,Critical Opportunity
Cloquet,MN,0,14,100.0,Critical Opportunity
Helena,MT,400,77,0.2385,Saturated Market
Dawson,MN,0,14,100.0,Critical Opportunity
Huntington Station,NY,200,168,0.477,Saturated Market
Pontotoc,MS,100,0,0.954,Stable/Growing
Villa Park,IL,800,0,0.1192,Saturated Market
Oyster Bay,NY,0,28,100.0,Critical Opportunity
Fitchburg,WI,800,28,0.1192,Saturated Market
North Reading,MA,0,56,100.0,Critical Opportunity
Calipatria,CA,400,14,0.2385,Saturated Market
Sparta,KY,200,0,0.477,Saturated Market
Springfield,NJ,100,112,0.954,Stable/Growing
Blair,NE,150,42,0.636,Stable/Growing
Grangeville,ID,0,28,100.0,Critical Opportunity
Delhi,CA,100,21,0.954,Stable/Growing
Daly City,CA,750,63,0.1272,Saturated Market
Monterey Park,CA,50,182,1.9079,High Opportunity
Naval Academy,MD,0,28,100.0,Critical Opportunity
Devils Lake,ND,100,0,0.954,Stable/Growing
Lexington,IL,0,7,100.0,Critical Opportunity
Algoma,WI,0,14,100.0,Critical Opportunity
Woodstock,GA,850,84,0.1122,Saturated Market
Audubon,IA,200,0,0.477,Saturated Market
Buda,TX,400,42,0.2385,Saturated Market
Potter,NE,100,14,0.954,Stable/Growing
Roosevelt,UT,200,7,0.477,Saturated Market
Snow Hill,MD,0,56,100.0,Critical Opportunity
Van Wert,OH,50,14,1.9079,High Opportunity
Beebe,AR,0,14,100.0,Critical Opportunity
Macclenny,FL,600,7,0.159,Saturated Market
Seaside,CA,400,126,0.2385,Saturated Market
Sherman,TX,0,294,100.0,Critical Opportunity
Watchung,NJ,300,0,0.318,Saturated Market
Coral Springs,FL,0,14,100.0,Critical Opportunity
Pasadena,TX,200,42,0.477,Saturated Market
Canton,MS,0,14,100.0,Critical Opportunity
Herkimer,NY,0,42,100.0,Critical Opportunity
St Marys City,MD,0,7,100.0,Critical Opportunity
Central Valley,NY,800,0,0.1192,Saturated Market
Hopewell Township,NJ,0,14,100.0,Critical Opportunity
Ypsilanti,MI,900,70,0.106,Saturated Market
Whitethorn,CA,0,28,100.0,Critical Opportunity
Bow,WA,0,42,100.0,Critical Opportunity
Fairfield,NJ,0,168,100.0,Critical Opportunity
Melrose,MA,0,273,100.0,Critical Opportunity
Mount Washington,KY,0,28,100.0,Critical Opportunity
Savoy,IL,50,0,1.9079,High Opportunity
Teaticket,MA,200,7,0.477,Saturated Market
Manning,IA,0,14,100.0,Critical Opportunity
St. Charles,MO,0,14,100.0,Critical Opportunity
Comfort,TX,100,14,0.954,Stable/Growing
Lawrence Township,NJ,150,35,0.636,Stable/Growing
Herington,KS,0,14,100.0,Critical Opportunity
Pleasanton,CA,4500,672,0.0212,Saturated Market
Pineville,LA,100,0,0.954,Stable/Growing
Shell,WY,0,14,100.0,Critical Opportunity
Hines,IL,0,14,100.0,Critical Opportunity
Albertville,MN,400,14,0.2385,Saturated Market
Hillsborough Township,NJ,0,35,100.0,Critical Opportunity
Fort Stockton,TX,0,56,100.0,Critical Opportunity
Grand Junction,CO,1250,546,0.0763,Saturated Market
Yarmouth,MA,0,154,100.0,Critical Opportunity
Long Island City,NY,100,609,0.954,Stable/Growing
Basalt,CO,0,168,100.0,Critical Opportunity
Salem,OH,0,7,100.0,Critical Opportunity
Burbank,WA,200,14,0.477,Saturated Market
Alanson,MI,0,21,100.0,Critical Opportunity
Bridgewater,NJ,400,231,0.2385,Saturated Market
Colmar Manor,MD,0,42,100.0,Critical Opportunity
Pacific City,OR,0,42,100.0,Critical Opportunity
Boulder City,NV,900,70,0.106,Saturated Market
Edmonds,WA,300,56,0.318,Saturated Market
Hanover,NJ,0,42,100.0,Critical Opportunity
Trinity,AL,0,28,100.0,Critical Opportunity
Clarks Summit,PA,0,14,100.0,Critical Opportunity
Bayport,NY,0,21,100.0,Critical Opportunity
Sealy,TX,900,0,0.106,Saturated Market
Villanova,PA,0,175,100.0,Critical Opportunity
Miami Shores,FL,0,28,100.0,Critical Opportunity
Ft Lauderdale,FL,800,0,0.1192,Saturated Market
Oakwood,GA,650,28,0.1468,Saturated Market
Manteca,CA,1700,343,0.0561,Saturated Market
Taunton,MA,50,84,1.9079,High Opportunity
Taylor,PA,0,7,100.0,Critical Opportunity
Blaine,MN,400,28,0.2385,Saturated Market
Chestertown,MD,0,98,100.0,Critical Opportunity
New Albany,IN,200,7,0.477,Saturated Market
Hugo,OK,100,0,0.954,Stable/Growing
Bullhead City,AZ,200,0,0.477,Saturated Market
Havelock,NC,0,42,100.0,Critical Opportunity
Pecos,NM,200,0,0.477,Saturated Market
Hamburg,PA,650,0,0.1468,Saturated Market
Dover,AR,0,28,100.0,Critical Opportunity
Mountainside,NJ,0,14,100.0,Critical Opportunity
Balmorhea,TX,200,0,0.477,Saturated Market
Fulton,NY,0,294,100.0,Critical Opportunity
Metlakatla,AK,0,14,100.0,Critical Opportunity
Kelseyville,CA,0,21,100.0,Critical Opportunity
West Creek,NJ,100,0,0.954,Stable/Growing
Northport,NY,300,28,0.318,Saturated Market
Emlenton,PA,200,0,0.477,Saturated Market
Colton,CA,2650,245,0.036,Saturated Market
Lebec,CA,1900,0,0.0502,Saturated Market
Greenwood,SC,100,21,0.954,Stable/Growing
Mount Airy,MD,300,28,0.318,Saturated Market
University City,MO,0,77,100.0,Critical Opportunity
Alachua,FL,600,0,0.159,Saturated Market
Harker Heights,TX,600,14,0.159,Saturated Market
Berea,KY,200,0,0.477,Saturated Market
St Petersbrug,FL,0,28,100.0,Critical Opportunity
East Highland Park,VA,0,56,100.0,Critical Opportunity
Atwater,CA,800,126,0.1192,Saturated Market
Waipahu,HI,200,49,0.477,Saturated Market
Richboro,PA,0,14,100.0,Critical Opportunity
Eagle Bay,NY,0,14,100.0,Critical Opportunity
Phoenixville,PA,100,7,0.954,Stable/Growing
Trona,CA,0,70,100.0,Critical Opportunity
Macon,MO,200,14,0.477,Saturated Market
Liberty,NY,0,42,100.0,Critical Opportunity
Leoma,TN,100,0,0.954,Stable/Growing
Madison,NJ,0,133,100.0,Critical Opportunity
Elmore,OH,0,14,100.0,Critical Opportunity
St George,UT,0,14,100.0,Critical Opportunity
Spring Hill,FL,0,91,100.0,Critical Opportunity
Angel Fire,NM,200,14,0.477,Saturated Market
Westville,NJ,100,0,0.954,Stable/Growing
North Augusta,SC,400,14,0.2385,Saturated Market
Abita Springs,LA,0,21,100.0,Critical Opportunity
St. Charles,IL,400,28,0.2385,Saturated Market
Oak Park Heights,MN,0,14,100.0,Critical Opportunity
Winter Garden,FL,0,231,100.0,Critical Opportunity
Bootwyn,PA,400,0,0.2385,Saturated Market
South Burlington,VT,250,329,0.3816,Saturated Market
Benbrook,TX,0,35,100.0,Critical Opportunity
Lumberton Township,NJ,0,14,100.0,Critical Opportunity
St. Peters,MO,300,105,0.318,Saturated Market
Saugerties,NY,1000,42,0.0954,Saturated Market
Freeland,MI,150,14,0.636,Stable/Growing
Harriman,TN,200,0,0.477,Saturated Market
Chesterfield,MO,1300,91,0.0734,Saturated Market
cary,NC,0,14,100.0,Critical Opportunity
Edinburgh,IN,200,0,0.477,Saturated Market
HAMILTON,OH,0,98,100.0,Critical Opportunity
North Berwick,ME,0,7,100.0,Critical Opportunity
North Miami Beach,FL,1200,168,0.0795,Saturated Market
Converse,TX,600,0,0.159,Saturated Market
Clinton Twp,MI,200,49,0.477,Saturated Market
Roselle,NJ,0,14,100.0,Critical Opportunity
BRENHAM,TX,50,7,1.9079,High Opportunity
North San Juan,CA,0,14,100.0,Critical Opportunity
Pageland,SC,0,14,100.0,Critical Opportunity
Somerset,KY,100,14,0.954,Stable/Growing
Clinton,NY,0,168,100.0,Critical Opportunity
Georgetown,GA,100,0,0.954,Stable/Growing
Highland,NY,200,126,0.477,Saturated Market
Redmond,WA,700,1561,0.1363,Saturated Market
hoffman estates,IL,0,7,100.0,Critical Opportunity
Lathrup Village,MI,200,0,0.477,Saturated Market
Millersville,MD,200,28,0.477,Saturated Market
Harrisburg,SD,0,14,100.0,Critical Opportunity
Rockford,IL,1300,70,0.0734,Saturated Market
BOWLING GREEN,FL,0,14,100.0,Critical Opportunity
Bourbonnais,IL,250,56,0.3816,Saturated Market
Danville,KY,0,21,100.0,Critical Opportunity
Mammoth Lakes,CA,600,0,0.159,Saturated Market
Hinton,OK,0,42,100.0,Critical Opportunity
Kasson,MN,0,14,100.0,Critical Opportunity
N Topsail Beach,NC,0,14,100.0,Critical Opportunity
Wallingford,CT,200,175,0.477,Saturated Market
Penn Yan,NY,0,63,100.0,Critical Opportunity
Brushy Fork,WV,0,49,100.0,Critical Opportunity
BOZEMAN,MT,100,0,0.954,Stable/Growing
Hacienda Heights,CA,600,0,0.159,Saturated Market
Peoria,AZ,800,105,0.1192,Saturated Market
Lafayette,CA,0,28,100.0,Critical Opportunity
Charlestown,NH,0,14,100.0,Critical Opportunity
Inman,SC,100,0,0.954,Stable/Growing
Rochester,IN,300,14,0.318,Saturated Market
SACRAMENTO,CA,0,7,100.0,Critical Opportunity
Shawano,WI,0,70,100.0,Critical Opportunity
Cranberry Township,PA,600,0,0.159,Saturated Market
Sioux Center,IA,0,14,100.0,Critical Opportunity
Ross,OH,0,14,100.0,Critical Opportunity
Camden,DE,200,28,0.477,Saturated Market
kenesaw,NE,0,14,100.0,Critical Opportunity
Onancock,VA,0,14,100.0,Critical Opportunity
Newbury Park,CA,0,28,100.0,Critical Opportunity
VESTAL,NY,50,0,1.9079,High Opportunity
Glen Dale,WV,100,0,0.954,Stable/Growing
Kodak,TN,1200,21,0.0795,Saturated Market
Springfield,OR,300,0,0.318,Saturated Market
Yreka,CA,400,0,0.2385,Saturated Market
Central Islip,NY,0,196,100.0,Critical Opportunity
Thomaston,ME,0,14,100.0,Critical Opportunity
Rosemont,IL,0,168,100.0,Critical Opportunity
Hoffman Estates,IL,200,147,0.477,Saturated Market
Woodbridge,VA,2100,469,0.0454,Saturated Market
Water Valley,MS,200,0,0.477,Saturated Market
Hillside,NJ,100,49,0.954,Stable/Growing
Black River,NY,0,42,100.0,Critical Opportunity
Plainsboro Township,NJ,100,378,0.954,Stable/Growing
Dover,NH,700,21,0.1363,Saturated Market
Westminster,CO,700,567,0.1363,Saturated Market
Mount Olive,NJ,0,7,100.0,Critical Opportunity
Lake Ariel,PA,0,56,100.0,Critical Opportunity
West Sand Lake,NY,0,28,100.0,Critical Opportunity
Everett,WA,1150,273,0.083,Saturated Market
Burns Harbor,IN,200,21,0.477,Saturated Market
La Conner,WA,0,14,100.0,Critical Opportunity
Mackinaw City,MI,300,56,0.318,Saturated Market
York,SC,300,35,0.318,Saturated Market
Princeton,NJ,0,245,100.0,Critical Opportunity
Manhattan Beach,CA,500,70,0.1908,Saturated Market
Woodinville,WA,200,28,0.477,Saturated Market
Wilcox,AZ,500,0,0.1908,Saturated Market
STEPHENVILLE,TX,50,0,1.9079,High Opportunity
Catonsville,MD,0,168,100.0,Critical Opportunity
Galt,CA,1100,0,0.0867,Saturated Market
Preston,CT,0,28,100.0,Critical Opportunity
Beverly,MA,0,196,100.0,Critical Opportunity
Greece,NY,0,294,100.0,Critical Opportunity
Resaca,GA,200,0,0.477,Saturated Market
Grand Haven,MI,300,28,0.318,Saturated Market
Searsport,ME,200,14,0.477,Saturated Market
Morristown,TN,200,42,0.477,Saturated Market
Port Richey,FL,150,14,0.636,Stable/Growing
Federalsburg,MD,0,21,100.0,Critical Opportunity
Berkeley Heights,NJ,650,329,0.1468,Saturated Market
Big Flats,NY,0,14,100.0,Critical Opportunity
Omaha,NE,1350,728,0.0707,Saturated Market
Solon,IA,0,14,100.0,Critical Opportunity
Severance,CO,200,14,0.477,Saturated Market
Lewisburg,WV,400,0,0.2385,Saturated Market
Oxford,PA,100,14,0.954,Stable/Growing
Hendersonville,NC,600,56,0.159,Saturated Market
Cedar Lake,IN,0,7,100.0,Critical Opportunity
Upton,MA,200,0,0.477,Saturated Market
Chula Vista,CA,4550,1323,0.021,Saturated Market
Springfield,VT,200,35,0.477,Saturated Market
Carteret,NJ,1200,0,0.0795,Saturated Market
Cranford,NJ,600,7,0.159,Saturated Market
Beavercreek,OH,700,84,0.1363,Saturated Market
Port Orchard,WA,400,49,0.2385,Saturated Market
Devon,PA,0,14,100.0,Critical Opportunity
Deckerville,MI,100,0,0.954,Stable/Growing
Oviedo,FL,200,140,0.477,Saturated Market
Hartford,VT,100,70,0.954,Stable/Growing
Belmont,MA,0,112,100.0,Critical Opportunity
DUBLIN,GA,50,7,1.9079,High Opportunity
Trego,WI,100,7,0.954,Stable/Growing
Raeford,NC,0,56,100.0,Critical Opportunity
Minden,LA,50,56,1.9079,High Opportunity
NEWPORT NEWS,VA,150,14,0.636,Stable/Growing
Beale AFB,CA,0,49,100.0,Critical Opportunity
Caro,MI,50,0,1.9079,High Opportunity
Salt Lake City,UT,1750,1267,0.0545,Saturated Market
Colby,KS,400,0,0.2385,Saturated Market
Crestview,FL,450,21,0.212,Saturated Market
Intercourse,PA,0,14,100.0,Critical Opportunity
Arlington Heights,IL,100,56,0.954,Stable/Growing
Wake Forest,NC,900,91,0.106,Saturated Market
Lake Charles,LA,300,91,0.318,Saturated Market
Walterboro,SC,600,21,0.159,Saturated Market
Snowshoe,WV,0,28,100.0,Critical Opportunity
Kailua-Kona,HI,100,140,0.954,Stable/Growing
Cathedral City,CA,400,224,0.2385,Saturated Market
Mount Laurel Township,NJ,0,42,100.0,Critical Opportunity
Glen Ellen,CA,0,7,100.0,Critical Opportunity
Bayam�n,PR,0,7,100.0,Critical Opportunity
Tybee Island,GA,50,21,1.9079,High Opportunity
East St. Louis,IL,300,0,0.318,Saturated Market
Hallandale Beach Fl,FL,0,42,100.0,Critical Opportunity
McDonough,GA,1550,70,0.0615,Saturated Market
Cabot,AR,0,84,100.0,Critical Opportunity
Clifton Springs,NY,300,42,0.318,Saturated Market
Edinburg,TX,200,56,0.477,Saturated Market
Arlington,WI,200,0,0.477,Saturated Market
South Gate,CA,0,28,100.0,Critical Opportunity
Diamond Bar,CA,1300,504,0.0734,Saturated Market
China Township,MI,0,7,100.0,Critical Opportunity
Elizabethtown,NC,0,14,100.0,Critical Opportunity
Coon Rapids,IA,100,42,0.954,Stable/Growing
Somersworth,NH,100,7,0.954,Stable/Growing
Mount Shasta,CA,800,14,0.1192,Saturated Market
Huchinson,MN,100,0,0.954,Stable/Growing
Quanah,TX,400,0,0.2385,Saturated Market
Oxford,NC,600,0,0.159,Saturated Market
Willow Street,PA,250,7,0.3816,Saturated Market
Russell,KS,400,0,0.2385,Saturated Market
Murray,KY,100,0,0.954,Stable/Growing
North Salem,NY,0,28,100.0,Critical Opportunity
Ghent,WV,600,0,0.159,Saturated Market
Fort Lupton,CO,100,0,0.954,Stable/Growing
Riverside,NJ,0,14,100.0,Critical Opportunity
Newark,OH,50,77,1.9079,High Opportunity
Williams,IA,200,0,0.477,Saturated Market
Keystone,CO,0,70,100.0,Critical Opportunity
Elbe,WA,50,7,1.9079,High Opportunity
Jefferson,GA,50,0,1.9079,High Opportunity
Pahoa,HI,100,0,0.954,Stable/Growing
WAUSAU,WI,100,0,0.954,Stable/Growing
Marion,IL,800,14,0.1192,Saturated Market
Odessa,FL,400,7,0.2385,Saturated Market
Windsor,WI,0,14,100.0,Critical Opportunity
Port Angeles,WA,50,140,1.9079,High Opportunity
Standish,MI,100,14,0.954,Stable/Growing
Anaconda,MT,0,14,100.0,Critical Opportunity
Novato,CA,800,105,0.1192,Saturated Market
Fairfield,IA,0,14,100.0,Critical Opportunity
Kaunakakai,HI,100,0,0.954,Stable/Growing
Chappaqua,NY,0,56,100.0,Critical Opportunity
Cleveland,OH,1500,735,0.0636,Saturated Market
Ocqueoc,MI,0,14,100.0,Critical Opportunity
Alpharetta,GA,650,658,0.1468,Saturated Market
Coeur d�Alene,ID,0,14,100.0,Critical Opportunity
Chardon,OH,0,28,100.0,Critical Opportunity
Troy,NC,50,7,1.9079,High Opportunity
Aurora,NE,100,14,0.954,Stable/Growing
Sumner,WA,400,28,0.2385,Saturated Market
Yampa,CO,100,0,0.954,Stable/Growing
Ottawa,IL,700,0,0.1363,Saturated Market
La Marque,TX,300,0,0.318,Saturated Market
Maineville,OH,0,14,100.0,Critical Opportunity
Gordonsville,TN,200,0,0.477,Saturated Market
Au Sable Charter Township,MI,0,28,100.0,Critical Opportunity
High Point,NC,200,70,0.477,Saturated Market
North Syracuse,NY,0,14,100.0,Critical Opportunity
Zionsville,IN,200,21,0.477,Saturated Market
Toluca Lake,CA,0,7,100.0,Critical Opportunity
Hillsboro,NH,200,0,0.477,Saturated Market
Milton,FL,0,203,100.0,Critical Opportunity
West Lebanon,NH,300,0,0.318,Saturated Market
Mauston,WI,200,0,0.477,Saturated Market
Gypsum,CO,450,14,0.212,Saturated Market
Leeds,NY,0,42,100.0,Critical Opportunity
Roxbury Township,NJ,0,28,100.0,Critical Opportunity
Ponte Vedra,FL,0,105,100.0,Critical Opportunity
Caldwell,ID,400,105,0.2385,Saturated Market
