city,state,total_dc_fast_kw,total_level2_kw,stress_score,investment_category
Van Buren Twp,MI,200,0,0.477,Saturated Market
Grosse Pointe Farms,MI,0,28,100.0,Critical Opportunity
Live Oak,FL,400,0,0.2385,Saturated Market
New Haven,CT,1300,2576,0.0734,Saturated Market
Yosemite National Park,CA,0,154,100.0,Critical Opportunity
Westminster,SC,0,14,100.0,Critical Opportunity
Greenwich,CT,200,392,0.477,Saturated Market
Montclair,NJ,0,84,100.0,Critical Opportunity
Castaic,CA,600,0,0.159,Saturated Market
Westport,CT,50,203,1.9079,High Opportunity
Edgewater,MD,100,28,0.954,Stable/Growing
Elkin,NC,0,14,100.0,Critical Opportunity
Litchfield,CT,350,126,0.2726,Saturated Market
Elverson,PA,0,7,100.0,Critical Opportunity
Plymouth,MI,400,112,0.2385,Saturated Market
East Charleston,WV,100,0,0.954,Stable/Growing
Edwards,CO,200,273,0.477,Saturated Market
LAS VEGAS,NV,0,105,100.0,Critical Opportunity
Elizabeth,IN,0,84,100.0,Critical Opportunity
Asbury Park,NJ,0,63,100.0,Critical Opportunity
Avon,NY,500,42,0.1908,Saturated Market
Coolidge,AZ,50,0,1.9079,High Opportunity
Mars Hill,NC,0,28,100.0,Critical Opportunity
Milford,NY,0,70,100.0,Critical Opportunity
Barbourville,KY,50,14,1.9079,High Opportunity
Denville,NJ,700,28,0.1363,Saturated Market
Manchester,VA,50,0,1.9079,High Opportunity
Shoshone,CA,300,21,0.318,Saturated Market
Greenland,MI,0,28,100.0,Critical Opportunity
Kensington,NH,0,28,100.0,Critical Opportunity
Gilbertville,MA,0,28,100.0,Critical Opportunity
Saratoga Springs,NY,300,371,0.318,Saturated Market
North Stonington,CT,0,49,100.0,Critical Opportunity
Mansfield,MA,0,70,100.0,Critical Opportunity
Mayodan,NC,0,14,100.0,Critical Opportunity
Merrill,WI,100,49,0.954,Stable/Growing
Windsor,NC,100,7,0.954,Stable/Growing
Newburgh Heights,OH,0,28,100.0,Critical Opportunity
Wellington,FL,1000,42,0.0954,Saturated Market
Homer,AK,0,7,100.0,Critical Opportunity
Ashville,OH,0,28,100.0,Critical Opportunity
Willoughby,OH,500,70,0.1908,Saturated Market
Borrego Springs,CA,300,42,0.318,Saturated Market
Marathon,FL,600,21,0.159,Saturated Market
West Tisbury,MA,0,56,100.0,Critical Opportunity
Winslow Township,NJ,0,14,100.0,Critical Opportunity
Decorah,IA,100,63,0.954,Stable/Growing
Lemon Grove,CA,400,42,0.2385,Saturated Market
Kimball,MI,200,0,0.477,Saturated Market
Warwick,NY,200,42,0.477,Saturated Market
Las Vegas,NM,250,14,0.3816,Saturated Market
RED BLUFF,CA,50,0,1.9079,High Opportunity
Saratoga,CA,50,490,1.9079,High Opportunity
Anchorage,AK,450,98,0.212,Saturated Market
Twin Bridges,CA,0,14,100.0,Critical Opportunity
Bronson,FL,200,0,0.477,Saturated Market
Acme,PA,0,7,100.0,Critical Opportunity
Suffolk,VA,400,84,0.2385,Saturated Market
Dundee,MI,200,28,0.477,Saturated Market
Danville,CA,850,56,0.1122,Saturated Market
Allen,TX,650,42,0.1468,Saturated Market
Rye,NY,0,126,100.0,Critical Opportunity
Iowa City,IA,400,294,0.2385,Saturated Market
Grinnell,IA,400,0,0.2385,Saturated Market
Winsted,CT,0,70,100.0,Critical Opportunity
Pataskala,OH,450,7,0.212,Saturated Market
Kilmarnock,VA,100,0,0.954,Stable/Growing
East Peoria,IL,800,98,0.1192,Saturated Market
Amit,OR,0,14,100.0,Critical Opportunity
Upper Darby,PA,0,42,100.0,Critical Opportunity
Poway,CA,0,35,100.0,Critical Opportunity
Davison,MI,200,84,0.477,Saturated Market
PARIS,KY,0,21,100.0,Critical Opportunity
Westerville,OH,200,140,0.477,Saturated Market
Ormand Beach,FL,100,0,0.954,Stable/Growing
Franklin,WI,200,0,0.477,Saturated Market
Saltville,VA,0,14,100.0,Critical Opportunity
South Bethany,DE,0,14,100.0,Critical Opportunity
Waycross,GA,250,14,0.3816,Saturated Market
Middleburg,VA,0,14,100.0,Critical Opportunity
Wharton,TX,400,7,0.2385,Saturated Market
Fort Rucker,AL,0,616,100.0,Critical Opportunity
Turin,NY,0,70,100.0,Critical Opportunity
Brookfield,CT,0,70,100.0,Critical Opportunity
AKRON,OH,50,0,1.9079,High Opportunity
Kapa'a,HI,0,21,100.0,Critical Opportunity
New Port Richey,FL,800,0,0.1192,Saturated Market
Hinsdale,IL,0,14,100.0,Critical Opportunity
Abington,MA,0,56,100.0,Critical Opportunity
McGaheysville,VA,0,14,100.0,Critical Opportunity
Dexter,MO,150,0,0.636,Stable/Growing
Canonsburg,PA,200,56,0.477,Saturated Market
Grand Canyon Village,AZ,300,42,0.318,Saturated Market
Weatherford,TX,350,140,0.2726,Saturated Market
Greensboro,NC,850,777,0.1122,Saturated Market
Warner Springs,CA,0,35,100.0,Critical Opportunity
Jacksonville,FL,7550,1736,0.0126,Saturated Market
East Jordan,MI,0,14,100.0,Critical Opportunity
Seven Fountains,VA,0,14,100.0,Critical Opportunity
Simi Valley,CA,2050,70,0.0465,Saturated Market
St. Lititz,PA,0,14,100.0,Critical Opportunity
Jennings,LA,150,0,0.636,Stable/Growing
Pittsburg,CA,300,70,0.318,Saturated Market
Breaks,VA,0,14,100.0,Critical Opportunity
Shepherd,TX,350,0,0.2726,Saturated Market
Southfield,MI,900,112,0.106,Saturated Market
Cuyahoga Falls,OH,0,14,100.0,Critical Opportunity
Green Bay,WI,550,203,0.1734,Saturated Market
Alma,AR,600,0,0.159,Saturated Market
Wayland,MI,200,21,0.477,Saturated Market
Buffalo,OK,0,14,100.0,Critical Opportunity
King City,CA,1000,0,0.0954,Saturated Market
Bon Air,VA,0,14,100.0,Critical Opportunity
New Market,VA,0,35,100.0,Critical Opportunity
Garden City Park,NY,300,0,0.318,Saturated Market
Hercules,CA,500,147,0.1908,Saturated Market
Moline,IL,600,28,0.159,Saturated Market
Pembroke,NC,0,14,100.0,Critical Opportunity
Savanna,IL,0,14,100.0,Critical Opportunity
Sapulpa,OK,0,175,100.0,Critical Opportunity
Chimacum,WA,0,14,100.0,Critical Opportunity
Highland,IN,250,35,0.3816,Saturated Market
Springfield,MO,1050,273,0.0909,Saturated Market
Tuckerton,NJ,0,28,100.0,Critical Opportunity
Billings,MT,800,126,0.1192,Saturated Market
HAPPY VALLEY,OR,0,14,100.0,Critical Opportunity
Bingham Farms,MI,0,28,100.0,Critical Opportunity
Wilmington,DE,1200,686,0.0795,Saturated Market
Dunnigan,CA,2850,0,0.0335,Saturated Market
North Stratford,NH,0,7,100.0,Critical Opportunity
New Prague,MN,300,28,0.318,Saturated Market
Oak Creek,WI,300,182,0.318,Saturated Market
Monterey,CA,150,154,0.636,Stable/Growing
Pollock Pines,CA,600,14,0.159,Saturated Market
Moncks Corner,SC,100,42,0.954,Stable/Growing
New Buffalo,MI,0,70,100.0,Critical Opportunity
Mt. Vernon,NY,0,56,100.0,Critical Opportunity
Louisville,TN,0,14,100.0,Critical Opportunity
East Granby,CT,0,56,100.0,Critical Opportunity
Leicester,MA,0,14,100.0,Critical Opportunity
Watertown,CT,300,91,0.318,Saturated Market
Crisfield,MD,100,0,0.954,Stable/Growing
STRONGSVILLE,OH,100,7,0.954,Stable/Growing
Arnold,CA,450,0,0.212,Saturated Market
savannah,GA,0,14,100.0,Critical Opportunity
Pryor,OK,0,21,100.0,Critical Opportunity
Yorktown Heights,NY,0,28,100.0,Critical Opportunity
Hudson,NH,0,42,100.0,Critical Opportunity
Ballinger,TX,50,0,1.9079,High Opportunity
WAYCROSS,GA,50,0,1.9079,High Opportunity
Boaz,AL,50,0,1.9079,High Opportunity
Roseland,VA,0,14,100.0,Critical Opportunity
Monroe,MI,1050,112,0.0909,Saturated Market
Granbury,TX,50,63,1.9079,High Opportunity
Copake,NY,0,14,100.0,Critical Opportunity
Iron Mountain,MI,50,0,1.9079,High Opportunity
Socorro,NM,700,0,0.1363,Saturated Market
NORMAN,OK,50,0,1.9079,High Opportunity
Mooresville,NC,50,252,1.9079,High Opportunity
Lomita,CA,0,28,100.0,Critical Opportunity
Rosemount,MN,0,28,100.0,Critical Opportunity
Clines Corner,NM,200,0,0.477,Saturated Market
Mechanicville,NY,200,84,0.477,Saturated Market
Aberdeen,MD,700,448,0.1363,Saturated Market
Watkins Glen,NY,200,147,0.477,Saturated Market
Aurora,OR,200,0,0.477,Saturated Market
Laie,HI,0,7,100.0,Critical Opportunity
Tigard,OR,300,406,0.318,Saturated Market
Prentice,WI,100,0,0.954,Stable/Growing
Mont Belvieu,TX,200,0,0.477,Saturated Market
Littleton,NH,150,91,0.636,Stable/Growing
Edinboro,PA,0,28,100.0,Critical Opportunity
Pendergrass,GA,0,28,100.0,Critical Opportunity
West Branch,IA,0,7,100.0,Critical Opportunity
La Grande,OR,200,14,0.477,Saturated Market
Battle Mountain,NV,400,0,0.2385,Saturated Market
Neptune Township,NJ,100,14,0.954,Stable/Growing
Village of Pelham,NY,0,14,100.0,Critical Opportunity
Riverview,FL,1650,147,0.0578,Saturated Market
Faribault,MN,150,84,0.636,Stable/Growing
Pendleton,KY,200,0,0.477,Saturated Market
Ayer,MA,300,84,0.318,Saturated Market
Timnath,CO,0,21,100.0,Critical Opportunity
Spanaway,WA,0,14,100.0,Critical Opportunity
North Liberty,IA,300,56,0.318,Saturated Market
Greencastle,IN,100,7,0.954,Stable/Growing
Ontario,OH,0,28,100.0,Critical Opportunity
Mission,TX,0,7,100.0,Critical Opportunity
Trinity Center,CA,0,14,100.0,Critical Opportunity
East Tawas,MI,0,28,100.0,Critical Opportunity
Oak Harbor,OH,0,7,100.0,Critical Opportunity
Springs,GA,0,14,100.0,Critical Opportunity
Armonk,NY,0,14,100.0,Critical Opportunity
ROBSTOWN,TX,50,0,1.9079,High Opportunity
Agawam,MA,300,126,0.318,Saturated Market
Westlake,FL,200,14,0.477,Saturated Market
Warsaw,IN,0,42,100.0,Critical Opportunity
Brush,CO,0,28,100.0,Critical Opportunity
Rock Creek,OH,0,14,100.0,Critical Opportunity
Fairborn,OH,0,56,100.0,Critical Opportunity
Medina,TX,0,14,100.0,Critical Opportunity
Waxhaw,NC,0,28,100.0,Critical Opportunity
Blakeslee,PA,600,28,0.159,Saturated Market
West Henrietta,NY,0,252,100.0,Critical Opportunity
Arlington,MA,250,112,0.3816,Saturated Market
Shirley,NY,900,0,0.106,Saturated Market
Tucson,AZ,3150,1953,0.0303,Saturated Market
Chatsworth,GA,100,0,0.954,Stable/Growing
Gilbertsville,PA,0,28,100.0,Critical Opportunity
Athens,OH,500,70,0.1908,Saturated Market
Twisp,WA,100,7,0.954,Stable/Growing
Wausau,WI,300,0,0.318,Saturated Market
Chapel Hill,TN,0,14,100.0,Critical Opportunity
Shafer,MN,100,0,0.954,Stable/Growing
Pulaski,TN,0,7,100.0,Critical Opportunity
